Fecha y Hora;Temperatura (°C);Humedad (% HR);Radiación Solar (lux);Corriente Bomba (A);Puerto / Antena
2026-09-01 12:02:37;33,10;66,4;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:02:39;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:41;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:44;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:46;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:48;33,10;66,3;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:50;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:52;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:54;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:56;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:02:58;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:00;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:02;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:04;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:06;33,10;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:08;33,10;66,2;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:03:10;33,10;66,2;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:03:12;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:14;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:16;33,10;66,1;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:03:18;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:20;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:22;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:24;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:26;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:29;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:31;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:33;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:35;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:37;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:39;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:41;33,10;66,1;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:03:43;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:45;33,00;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:47;33,00;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:49;33,10;66,1;0,0;0,000;XBee_PRO_S2B (COM6)
2026-09-01 12:03:51;33,00;66,1;0,0;0,100;XBee_PRO_S2B (COM6)
2026-09-01 12:03:53;33,00;66,2;0,0;0,000;XBee_PRO_S2B (COM6)
