timestamp,temperatura_c,humedad_rh,radiacion_uv_lux,corriente_motor_a,puerto_antena
2026-09-01 12:03:22,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:24,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:26,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:29,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:31,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:33,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:35,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:37,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:39,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:41,33.1,66.1,0.0,0.1,COM6
2026-09-01 12:03:43,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:45,33.0,66.1,0.0,0.0,COM6
2026-09-01 12:03:47,33.0,66.1,0.0,0.0,COM6
2026-09-01 12:03:49,33.1,66.1,0.0,0.0,COM6
2026-09-01 12:03:51,33.0,66.1,0.0,0.1,COM6
2026-09-01 12:03:53,33.0,66.2,0.0,0.0,COM6
